Time sum_kwh count_users
22035 1537.95 984
22037 1549.019 984
22039 1411.956 984
22041 1379.469 984
22043 1386.164 984
22045 1305.112 984
22047 1144.479 984
22101 914.916 984
22103 764.241 984
22105 658.652 984
22107 595.937 984
22109 553.648 984
22111 568.688 984
22113 579.738 984
22115 663.64 984
22117 831.076 984
22119 1100.685 984
22121 1322.153 984
22123 1404.981 984
22125 1514.683 984
22127 1430.15 984
22129 1364.205 984
22131 1215.706 984
22133 1242.82 984
22135 1391.699 984
22137 1410.142 984
22139 1382.107 984
22141 1381.42 984
22143 1467.286 984
22145 1383.09 984
22147 1130.105 984
22201 899.104 984
22203 753.745 984
22205 655.317 984
22207 582.482 984
22209 534.822 984
22211 569.408 984
22213 648.818 984
22215 892.126 984
22217 1170.408 984
22219 1439.124 984
22221 1477.795 984
22223 1540.053 984
22225 1604.779 984
22227 1562.669 984
22229 1484.49 984
22231 1459.232 984
22233 1579.643 984
22235 1690.991 984
22237 1599.41 984
22239 1427.936 984
22241 1375.524 984
22243 1570.606 984
22245 1519.094 984
22247 1228.975 984
22301 887.884 984
22303 730.227 984
22305 639.142 984
22307 595.698 984
22309 550.986 984
22311 582.173 984
22313 676.149 984
22315 908.416 984
22317 1198.089 984
22319 1366.378 984
22321 1490.419 984
22323 1523.052 984
22325 1530.718 984
22327 1417.753 984
22329 1447.01 984
22331 1431.319 984
22333 1541.471 984
22335 1707.399 984
22337 1660.172 984
22339 1475.1 984
22341 1421.713 984
22343 1596.568 984
22345 1450.344 984
22347 1104.403 984
22401 813.652 984
22403 652.044 984
22405 562.393 984
22407 535.505 984
22409 535.266 984
22411 564.346 984
22413 651.048 984
22415 936.273 984
22417 1192.407 984
22419 1464.252 984
22421 1603.5140000000001 984
22423 1626.849 984
22425 1621.751 984
22427 1563.232 984
22429 1550.791 984
22431 1490.253 984
22433 1580.846 984
22435 1744.218 984
22437 1665.528 984
22439 1499.959 984
22441 1489.532 984
22443 1628.175 984
22445 1490.961 984
22447 1188.047 984
22501 912.124 985
22503 745.251 985
22505 651.799 985
22507 613.482 985
22509 538.54 985
22511 584.469 985
22513 653.94 985
22515 944.729 985
22517 1191.993 985
22519 1436.57 985
22521 1561.772 985
22523 1554.96 985
22525 1616.36 985
22527 1449.126 985
22529 1463.798 985
22531 1427.039 985
22533 1539.952 985
22535 1709.708 985
22537 1659.823 985
22539 1482.555 985
22541 1405.718 985
22543 1557.113 985
22545 1473.908 985
22547 1193.601 985
22601 894.404 985
22603 737.675 985
22605 634.579 985
22607 597.855 985
22609 549.172 985
22611 585.683 985
22613 634.35 985
22615 890.276 985
22617 1216.855 985
22619 1407.264 985
22621 1563.839 985
22623 1659.161 985
22625 1629.7 985
22627 1557.834 985
22629 1488.046 985
22631 1493.488 985
22633 1559.367 985
22635 1684.152 985
22637 1608.844 985
22639 1465.395 985
22641 1528.068 985
22643 1604.948 985
22645 1441.659 985
22647 1211.084 985
22701 982.357 985
22703 824.778 985
22705 709.6709999999999 985
22707 641.737 985
22709 590.455 985
22711 571.061 985
22713 602.914 985
22715 749.162 985
22717 968.43 985
22719 1324.003 985
22721 1494.881 985
22723 1560.954 985
22725 1611.056 985
22727 1659.087 985
22729 1493.807 985
22731 1409.25 985
22733 1442.449 985
22735 1549.923 985
22737 1504.316 985
22739 1378.202 985
22741 1359.318 985
22743 1452.464 985
22745 1355.941 985
22747 1120.321 985
22801 923.328 986
22803 762.8629999999999 986
22805 657.245 986
22807 590.924 986
22809 569.814 986
22811 571.045 986
22813 571.374 986
22815 666.978 986
22817 808.726 986
22819 1105.638 986
22821 1375.969 986
22823 1462.119 986
22825 1586.01 986
22827 1583.273 986
22829 1374.337 986
22831 1309.911 986
22833 1242.167 986
22835 1410.47 986
22837 1426.339 986
22839 1405.203 986
22841 1447.308 986
22843 1510.255 986
22845 1426.187 986
22847 1239.093 986
22901 971.387 986
22903 773.274 986
22905 654.6610000000001 986
22907 571.276 986
22909 545.488 986
22911 584.828 986
22913 686.035 986
22915 906.89 986
22917 1186.7160000000001 986
22919 1367.118 986
22921 1473.416 986
22923 1503.338 986
22925 1571.941 986
22927 1511.419 986
22929 1527.707 986
22931 1427.671 986
22933 1526.956 986
22935 1650.161 986
22937 1653.873 986
22939 1457.447 986
22941 1439.662 986
22943 1682.179 986
22945 1491.47 986
22947 1177.04 986
23001 893.097 987
23003 726.199 987
23005 649.737 987
23007 596.749 987
23009 547.237 987
23011 581.749 987
23013 678.993 987
23015 932.55 987
23017 1183.415 987
23019 1404.9 987
23021 1494.935 987
23023 1572.302 987
23025 1638.677 987
23027 1589.0529999999999 987
23029 1545.379 987
23031 1538.706 987
23033 1609.102 987
23035 1777.235 987
23037 1713.925 987
23039 1519.678 987
23041 1533.642 987
23043 1686.46 987
23045 1486.557 987
23047 1136.315 987
23101 841.287 986
23103 640.322 986
23105 579.029 986
23107 550.34 986
23109 536.633 986
23111 593.702 986
23113 677.004 986
23115 938.822 986
23117 1261.254 986
23119 1351.828 986
23121 1479.353 986
23123 1553.78 986
23125 1613.354 986
23127 1557.227 986
23129 1481.703 986
23131 1452.038 986
23133 1586.559 986
23135 1801.901 986
23137 1705.827 986
23139 1607.477 986
23141 1585.574 986
23143 1665.802 986
23145 1506.208 986
23147 1200.066 986
23201 915.29 985
