Time sum_kwh count_users mean_kwh Date Hour
41205 5295.889 6217 0.8518399549622004 412 2
41207 4957.0599999999995 6217 0.7973395528389898 412 3
41209 4756.572 6217 0.7650912015441531 412 4
41211 4920.937 6217 0.791529194145086 412 5
41213 5837.183 6217 0.938906707415152 412 6
41215 8091.956999999999 6217 1.3015854913945633 412 7
41217 9695.42 6217 1.559501367218916 412 8
41219 11263.43 6217 1.8117146533697925 412 9
41221 12169.887999999999 6217 1.9575177738459062 412 10
41223 12180.655999999999 6217 1.9592497989383946 412 11
41225 12422.072 6217 1.9980813897378158 412 12
41227 11945.265 6217 1.9213873250764033 412 13
41229 11800.366 6217 1.8980804246421104 412 14
41231 12067.711 6217 1.9410826765320894 412 15
41233 12842.996 6217 2.065786713849123 412 16
41235 14230.374 6217 2.288945472092649 412 17
41237 15233.773000000001 6217 2.450341483030401 412 18
41239 14766.302 6217 2.3751491072864725 412 19
41241 13750.455 6217 2.211750844458742 412 20
41243 12669.119999999999 6217 2.037818883705967 412 21
41245 10871.798999999999 6217 1.7487210873411612 412 22
41247 9523.955 6217 1.5319213447000162 412 23
41301 7293.998 6217 1.1732343574071096 413 0
41303 5824.493 6217 0.9368655299983916 413 1
41305 5121.049 6217 0.8237170661090558 413 2
41307 4849.887000000001 6217 0.7801008525012064 413 3
41309 4728.469 6217 0.7605708541096993 413 4
41311 4877.860000000001 6217 0.7846002895287116 413 5
41313 5758.184 6217 0.9261997748110021 413 6
41315 8120.134 6217 1.3061177416760494 413 7
41317 9868.258 6217 1.5873022358050506 413 8
41319 11489.611 6217 1.8480957053241114 413 9
41321 11961.029 6217 1.9239229531928583 413 10
41323 12239.237000000001 6217 1.9686725108573269 413 11
41325 12472.215 6217 2.0061468553964934 413 12
41327 11901.044 6217 1.9142744088788806 413 13
41329 11566.637999999999 6217 1.860485443139778 413 14
41331 11878.363 6217 1.910626186263471 413 15
41333 12759.151 6217 2.05230030561364 413 16
41335 14379.307 6217 2.3129012385394887 413 17
41337 15283.268 6217 2.458302718352903 413 18
41339 14707.276 6217 2.3656548174360625 413 19
41341 13736.952000000001 6217 2.2095788965739103 413 20
41343 12633.207 6217 2.03204230336175 413 21
41345 10804.19 6217 1.737846228084285 413 22
41347 9552.842 6217 1.536567797973299 413 23
41401 7420.370999999999 6216 1.1937533783783782 414 0
41403 6042.099 6216 0.9720236486486487 414 1
41405 5276.701999999999 6216 0.848890283140283 414 2
41407 4981.403 6216 0.8013840090090091 414 3
41409 4780.701 6216 0.7690960424710425 414 4
41411 4964.149 6216 0.7986082689832691 414 5
41413 5919.896000000001 6216 0.9523642213642215 414 6
41415 8117.181 6216 1.305852799227799 414 7
41417 9895.554 6216 1.5919488416988417 414 8
41419 11823.898000000001 6216 1.902171492921493 414 9
41421 12458.719000000001 6216 2.004298423423424 414 10
41423 12493.893 6216 2.009957046332046 414 11
41425 12650.235 6216 2.0351085907335906 414 12
41427 11979.917 6216 1.9272710746460746 414 13
41429 11587.837 6216 1.8641951415701414 414 14
41431 11828.621 6216 1.9029313063063062 414 15
41433 12913.661 6216 2.077487290862291 414 16
41435 14143.74 6216 2.275376447876448 414 17
41437 15024.960000000001 6216 2.4171428571428573 414 18
41439 14376.735 6216 2.312859555984556 414 19
41441 13158.681 6216 2.116904922779923 414 20
41443 12418.963 6216 1.9979026705276706 414 21
