mean_kwh day hour prediction date holiday
1.8087664304123712 426 13 2.026590660225443 2010-03-03 False
1.7871905605670104 426 14 2.008720933977456 2010-03-03 False
1.8765172358247424 426 15 2.1573847020933976 2010-03-03 False
2.07864900128866 426 16 2.346634299516908 2010-03-03 False
2.250064594072165 426 17 2.536255072463768 2010-03-03 False
2.333048969072165 426 18 2.496867954911433 2010-03-03 False
2.321496295103093 426 19 2.425894041867955 2010-03-03 False
2.199658021907217 426 20 2.3150739130434785 2010-03-03 False
2.023413176546392 426 21 2.104402898550725 2010-03-03 False
1.7306689755154636 426 22 1.7779644122383251 2010-03-03 False
1.4734473260309278 426 23 1.5212789049919484 2010-03-03 False
1.115437802126974 427 0 1.163187952971493 2010-03-04 False
0.917526748308089 427 1 0.9545883395071668 2010-03-04 False
0.8234987109249113 427 2 0.8616455145756161 2010-03-04 False
0.7773881727360618 427 3 0.819904010307618 2010-03-04 False
0.761599097647438 427 4 0.7942641327105813 2010-03-04 False
0.7849827586206897 427 5 0.8199885649863102 2010-03-04 False
0.9613743151788592 427 6 0.9875234337252377 2010-03-04 False
1.410498066387367 427 7 1.4513612497986794 2010-03-04 False
1.634328714147599 427 8 1.6702884522467385 2010-03-04 False
1.788177570093458 427 9 1.8480331776453536 2010-03-04 False
1.863718337093136 427 10 1.8904599774520856 2010-03-04 False
1.860062197873026 427 11 1.9364493477210505 2010-03-04 False
1.8889592330003224 427 12 2.0043159929135124 2010-03-04 False
1.8851848211408315 427 13 1.9640605572555965 2010-03-04 False
1.8586501772478248 427 14 1.9428122080850376 2010-03-04 False
1.910478085723493 427 15 2.00756224834917 2010-03-04 False
2.097392039961328 427 16 2.2038605250442904 2010-03-04 False
2.236724460199807 427 17 2.453534707682397 2010-03-04 False
2.3156227844021915 427 18 2.461707843453052 2010-03-04 False
2.33734676119884 427 19 2.3751339990336606 2010-03-04 False
2.2040955526909443 427 20 2.2597025285875345 2010-03-04 False
2.0265344827586205 427 21 2.0649710098244483 2010-03-04 False
1.7250797615211089 427 22 1.782555483974875 2010-03-04 False
1.509223332259104 427 23 1.532900789177001 2010-03-04 False
1.1425749274895265 428 0 1.1743450942484293 2010-03-05 False
0.9300596197228488 428 1 0.9741548251973576 2010-03-05 False
0.8350647760232034 428 2 0.8681464475592073 2010-03-05 False
0.7993939735739607 428 3 0.8176753665216691 2010-03-05 False
0.7648200128907509 428 4 0.7935157080715322 2010-03-05 False
0.7920518852723172 428 5 0.825285967456098 2010-03-05 False
0.9749983886561392 428 6 0.9990779764781698 2010-03-05 False
1.4030346438930068 428 7 1.451762365071693 2010-03-05 False
1.6152552368675477 428 8 1.6715809569840503 2010-03-05 False
1.774799709958105 428 9 1.8484668922184635 2010-03-05 False
1.8260605865291653 428 10 1.8981511197035603 2010-03-05 False
1.8037302610377053 428 11 1.910246818108587 2010-03-05 False
1.817337415404448 428 12 1.975517319155792 2010-03-05 False
1.7041437318723818 428 13 1.9217502819397447 2010-03-05 False
1.701345310989365 428 14 1.8808736909940391 2010-03-05 False
1.744714631002256 428 15 1.9530496213951989 2010-03-05 False
1.9111424427972927 428 16 2.124261801192202 2010-03-05 False
2.060669352239768 428 17 2.2517680038666024 2010-03-05 False
2.204923300032227 428 18 2.3691623972933784 2010-03-05 False
2.310753464389301 428 19 2.370456420170775 2010-03-05 False
2.2155199806638737 428 20 2.246386499113904 2010-03-05 False
2.0201791814373187 428 21 2.076537941034316 2010-03-05 False
1.7321250402835964 428 22 1.8105368132753343 2010-03-05 False
1.5192012568482114 428 23 1.5641833413887547 2010-03-05 False
1.1616769255559136 429 0 1.2016611889801836 2010-03-06 False
0.9377924589107316 429 1 0.971022071854358 2010-03-06 False
0.8388024492426684 429 2 0.8610046721443531 2010-03-06 False
0.7915617144698678 429 3 0.8231657805703237 2010-03-06 False
0.7736493715758943 429 4 0.7975012083131948 2010-03-06 False
0.8013108282307445 429 5 0.8120950539713226 2010-03-06 False
0.9561743474057364 429 6 0.9691717415820846 2010-03-06 False
1.3785251369642282 429 7 1.418801997744482 2010-03-06 False
1.6376413148565905 429 8 1.6476492669566616 2010-03-06 False
1.807590879793748 429 9 1.8323908490414047 2010-03-06 False
1.8473069610054784 429 10 1.8879150958595137 2010-03-06 False
1.8321211730583309 429 11 1.896124214596424 2010-03-06 False
1.8123570737995487 429 12 1.9277425487352988 2010-03-06 False
1.7247268772155977 429 13 1.8704482036410504 2010-03-06 False
1.6917649049307124 429 14 1.852994844530369 2010-03-06 False
1.702248308088946 429 15 1.902361527307878 2010-03-06 False
1.8664872703835 429 16 2.043561462864508 2010-03-06 False
2.001436351917499 429 17 2.163808280973095 2010-03-06 False
2.1735681598453107 429 18 2.3150581601417755 2010-03-06 False
2.264270383499839 429 19 2.3250286772998225 2010-03-06 False
2.111727682887528 429 20 2.1928532302239407 2010-03-06 False
1.9399685787947147 429 21 1.9951690027388431 2010-03-06 False
1.7137186593619078 429 22 1.757609312067021 2010-03-06 False
1.6050734772800517 429 23 1.6418733687771871 2010-03-06 False
1.285076538833387 430 0 1.3202336072176577 2010-03-07 False
1.010354817918144 430 1 1.0599866280006445 2010-03-07 False
0.8613333870447952 430 2 0.9051230868374416 2010-03-07 False
0.7779038027715115 430 3 0.8259275012083133 2010-03-07 False
0.7409930712213987 430 4 0.7690099887224101 2010-03-07 False
0.7391672574927489 430 5 0.7711912357016272 2010-03-07 False
0.7913515952304221 430 6 0.8221446753665216 2010-03-07 False
0.978250241701579 430 7 1.001554857419043 2010-03-07 False
1.2623256525942637 430 8 1.234922506847108 2010-03-07 False
1.581113760876571 430 9 1.592225874013211 2010-03-07 False
1.7559031582339673 430 10 1.7891720637989366 2010-03-07 False
1.782950209474702 430 11 1.8772493958434024 2010-03-07 False
1.847520464067032 430 12 1.9227352988561304 2010-03-07 False
1.8076129552046407 430 13 1.8986048010310936 2010-03-07 False
1.7227847244601997 430 14 1.806176252618012 2010-03-07 False
1.6982241379310343 430 15 1.7990090220718544 2010-03-07 False
1.8036311633902675 430 16 1.8565980344772028 2010-03-07 False
1.96304560103126 430 17 1.934677299822781 2010-03-07 False
2.1845422172091524 430 18 2.2532336072176573 2010-03-07 False
2.255856429262004 430 19 2.2208535524407926 2010-03-07 False
2.079626651627457 430 20 2.0797657483486387 2010-03-07 False
1.8622362230099905 430 21 1.893274528757854 2010-03-07 False
1.64692152755398 430 22 1.6667061382310293 2010-03-07 False
1.5158474057363842 430 23 1.5526136619945223 2010-03-07 False
1.2490563970351274 431 0 1.2908809408732076 2010-03-08 False
1.0171269738962294 431 1 1.069950378604801 2010-03-08 False
0.8701166612955203 431 2 0.922631706138231 2010-03-08 False
0.7910530132130196 431 3 0.8372656677944257 2010-03-08 False
0.7484680953915567 431 4 0.7835849846946995 2010-03-08 False
0.7436385755720271 431 5 0.7792329627839537 2010-03-08 False
0.7801102159200772 431 6 0.8040376993716771 2010-03-08 False
0.8775398001933612 431 7 0.8926019010794265 2010-03-08 False
1.0791699967773123 431 8 1.0537976478169808 2010-03-08 False
1.3556854656783757 431 9 1.3651934912195909 2010-03-08 False
1.5796400257815015 431 10 1.598944900918318 2010-03-08 False
1.6738628746374478 431 11 1.7384153375221525 2010-03-08 False
1.8007774734128263 431 12 1.878823425165136 2010-03-08 False
1.7460074121817597 431 13 1.8250040277106487 2010-03-08 False
1.5801359974218498 431 14 1.6841791525696794 2010-03-08 False
