Time sum_kwh count_users mean_kwh day hour prediction
36705 5897.903 6243 0.9447225692775908 367 2 0.9126691753402724
36707 5295.053 6243 0.8481584174275189 367 3 0.8146546036829464
36709 5045.102000000001 6243 0.8081214159859044 367 4 0.7678190552441955
36711 4898.853 6243 0.784695338779433 367 5 0.7532515612489993
36713 5187.32 6243 0.8309018100272304 367 6 0.7789841473178544
36715 5561.4130000000005 6243 0.8908238026589781 367 7 0.846036188951161
36717 6520.194 6243 1.0444007688611243 367 8 0.9502038430744596
36719 8510.505000000001 6243 1.3632075925036042 367 9 1.247476381104884
36721 10478.54 6243 1.6784462598109884 367 10 1.5747631705364291
36723 11702.874 6243 1.874559346468044 367 11 1.817570216172938
36725 12120.487 6243 1.941452346628224 367 12 2.0030102481985588
36727 12259.996 6243 1.963798814672433 367 13 2.092669495596477
36729 11978.487 6243 1.9187068716963 367 14 2.0151779023218577
36731 12039.801 6243 1.928528111484863 367 15 1.958301681345076
36733 14007.235 6243 2.243670510972289 367 16 2.158157726180945
36735 16388.214 6243 2.625054300816915 367 17 2.4367987189751803
36737 16168.582 6243 2.589873778632068 367 18 2.378100400320256
36739 15482.305 6243 2.479946339900689 367 19 2.2736240192153723
36741 14630.642 6243 2.3435274707672598 367 20 2.1447253803042434
36743 13251.615 6243 2.1226357520422874 367 21 2.001375660528423
36745 11941.998 6243 1.9128620855358 367 22 1.812950040032025
36747 11388.411 6243 1.8241888515136957 367 23 1.661874459567654
36801 9353.217 6243 1.4981926958193177 368 0 1.366983026421137
36803 7371.378 6243 1.180742912061509 368 1 1.0870662930344277
36805 6235.564 6243 0.9988089059746916 368 2 0.9144435548438752
36807 5625.992 6243 0.9011680281915746 368 3 0.8539098478783026
36809 5195.695 6243 0.8322433125100112 368 4 0.7917353082465973
36811 5022.713 6243 0.8045351593785038 368 5 0.7708888710968775
36813 5204.499 6243 0.8336535319557905 368 6 0.8027918334667733
36815 5620.714 6243 0.9003226013134711 368 7 0.8778759007205764
