mean_kwh day hour prediction
1.7687505030181083 652 21 1.7637152195776065
1.5157982897384308 652 22 1.483805564867583
1.175644366197183 652 23 1.1666402950050283
0.9131525821596244 653 0 0.9061326291079812
0.7154575788061703 653 1 0.7199476861167002
0.632144533869886 653 2 0.6413269617706238
0.6029227028839705 653 3 0.6035254862508383
0.5974211938296445 653 4 0.6016104963112006
0.6295903755868545 653 5 0.627484071093226
0.7905548289738431 653 6 0.7780177733065057
1.2171606304493627 653 7 1.2184548960429242
1.433351441985245 653 8 1.4214632796780684
1.4700719315895372 653 9 1.4448043259557344
1.462497317236754 653 10 1.4810214621059692
1.4497184775318577 653 11 1.5022578806170357
1.509619550637156 653 12 1.5201267605633804
1.461557679409792 653 13 1.459842890677398
1.4343477531857816 653 14 1.4140570087189803
1.4948063380281689 653 15 1.4669418175720994
1.6022622401073106 653 16 1.584853621730382
1.7215449362843729 653 17 1.6706145204560698
1.837143695506372 653 18 1.7145985915492958
1.9739761904761903 653 19 1.915733400402415
1.8904314218645204 653 20 1.8251569416499
1.7323774312541915 653 21 1.6597914151576123
1.516053152246814 653 22 1.4809567404426558
1.2733620053655266 653 23 1.2783822937625755
1.026330650570087 654 0 1.005455155071249
0.8066670020120723 654 1 0.7791906119027661
0.6817112676056338 654 2 0.6681772003352892
0.6166869550637156 654 3 0.6064979044425818
0.6019191817572099 654 4 0.59340435875943
0.6112873910127431 654 5 0.6111480301760267
0.6633368544600939 654 6 0.6600278290025147
0.8156230717639169 654 7 0.8173002514668902
1.1041794097920858 654 8 1.1096477787091366
1.4027711267605634 654 9 1.401713998323554
1.548979879275654 654 10 1.537139145012573
1.586401240778001 654 11 1.5725976529756915
1.6278638497652582 654 12 1.621800670578374
1.5844330985915496 654 13 1.563223973176865
1.4705523138832997 654 14 1.4705758591785416
1.4391770623742457 654 15 1.43256077116513
1.4698876592890675 654 16 1.5050789606035206
1.6649515425888666 654 17 1.684329253981559
1.8395670690811536 654 18 1.8132905280804692
2.0194557344064386 654 19 1.9306883487007545
1.8323054996646544 654 20 1.800896060352054
1.6480613682092555 654 21 1.5972657166806372
1.48741163648558 654 22 1.4335840737636212
1.2346876257545272 654 23 1.2193595976529756
1.0142302146210598 655 0 0.991312437143815
0.8194867538564722 655 1 0.8049842440496144
0.6952285378940308 655 2 0.675914180355347
0.6273430583501006 655 3 0.6134183707676836
0.601822434607646 655 4 0.5880305062018103
0.5936403420523139 655 5 0.601515923566879
0.6272706237424547 655 6 0.6297499161917532
0.7220928906773977 655 7 0.7241749916191753
0.942693829644534 655 8 0.9340283271873954
1.2157396042924211 655 9 1.2083478042239355
1.4593678739101277 655 10 1.4570635266510226
1.5708108651911468 655 11 1.5586399597720415
1.6894079476861168 655 12 1.6702118672477373
1.6293076794097918 655 13 1.6514812269527324
1.4915112340710932 655 14 1.4770816292323166
1.4209257209926225 655 15 1.407746899094871
1.456399899396378 655 16 1.4214401609118337
1.5778720657276994 655 17 1.5192732148843446
1.7910692488262911 655 18 1.675453570231311
1.947631790744467 655 19 1.8927953402614817
1.8309354460093896 655 20 1.7933224941334227
1.691235077129443 655 21 1.6921532014750251
1.4387520120724346 655 22 1.442102413677506
1.1180863514419852 655 23 1.1286352665102246
0.9107061786433848 656 0 0.881918063002681
0.7330213230355943 656 1 0.71553418230563
0.6473433512424447 656 2 0.6213081434316353
0.599568838146407 656 3 0.5762900469168901
0.5882820685023505 656 4 0.5693441689008043
0.6073943922095366 656 5 0.5993914209115282
0.751821524513096 656 6 0.7518932640750671
1.203398589657488 656 7 1.169001172922252
1.44695920080591 656 8 1.379259550938338
1.4464064808596375 656 9 1.431417560321716
1.5119450973807926 656 10 1.4679725201072389
1.5073012088650102 656 11 1.4702731233243969
1.561051040967092 656 12 1.5315872989276138
1.5269588650100738 656 13 1.5015474195710456
1.4738692075218267 656 14 1.4485951742627343
1.5651027535258564 656 15 1.5181776139410188
1.7309655809267963 656 16 1.7415132372654154
1.9175429818670249 656 17 1.835354390080429
1.9874780053727332 656 18 1.7551218163538873
2.0590275352585627 656 19 1.913347184986595
1.939530557421088 656 20 1.907797922252011
1.7656581598388177 656 21 1.7427573726541554
1.5184022834116857 656 22 1.4729287868632708
1.173637844190732 656 23 1.1563434986595174
0.9078683459277918 657 0 0.8721410127431255
0.7331837111670866 657 1 0.6875980885311871
0.6553672544080604 657 2 0.6171462105969148
0.6180901763224181 657 3 0.5824741784037559
0.6050488664987406 657 4 0.5761428571428572
0.6354300587741394 657 5 0.6146019450033534
0.7996733837111671 657 6 0.798830985915493
1.2714821158690175 657 7 1.2262981220657276
1.4612335852225022 657 8 1.39849882629108
1.4737566750629725 657 9 1.463121395036888
1.5100357682619645 657 10 1.4645430918846412
1.530441141897565 657 11 1.439957914151576
1.557449874055416 657 12 1.4847245137491614
1.5297536523929474 657 13 1.4407778336686785
1.5156762384550797 657 14 1.3813864855801476
1.551051385390428 657 15 1.4458366867873909
1.6978957178841312 657 16 1.590424882629108
1.837022670025189 657 17 1.7372409456740443
1.927063811922754 657 18 1.7943896713615024
2.093634928631402 657 19 2.064763246143528
1.967173635600336 657 20 1.9484010731052983
1.822915197313182 657 21 1.7803413816230718
1.526936523929471 657 22 1.4981478873239436
1.1784094038623003 657 23 1.1606312877263585
0.9182568021498152 658 0 0.8814710716082508
0.7338943567349681 658 1 0.6887885292637934
0.6466357070876722 658 2 0.6087521381854771
0.6117769566677863 658 3 0.5785921516015429
0.5996479677527713 658 4 0.5807892000670803
0.632718844474303 658 5 0.6106733187992621
0.8078123950285523 658 6 0.7679054167365421
1.2731748404433991 658 7 1.2286365923193026
1.500792072556265 658 8 1.4547149086030522
1.5342069197178367 658 9 1.5043904075129968
1.5575524017467248 658 10 1.510175247358712
1.5366399059455829 658 11 1.5005854435686734
1.5604647295935508 658 12 1.5495544189166528
1.4867435337588175 658 13 1.5252136508468892
1.4551642593214646 658 14 1.4557871876572197
1.504457843466577 658 15 1.5638339761864832
1.6732363117232114 658 16 1.7171643468052995
1.835807524353376 658 17 1.88164212644642
1.9498354047699025 658 18 1.9264021465705183
2.1223543836076586 658 19 2.0675508971993963
1.997591367148136 658 20 1.9532953211470736
1.81396288209607 658 21 1.7828463860472916
1.548892005374538 658 22 1.5309337581754152
1.2135557608330534 658 23 1.1918287774610097
0.9334290035288187 659 0 0.9223811200536552
0.7580547807091246 659 1 0.72746395036888
0.6684552176104857 659 2 0.6420326961770624
0.6335220971265334 659 3 0.6014163313212608
0.6125328516215762 659 4 0.5961022803487592
0.6488459082507141 659 5 0.6234399731723675
0.8225461267013947 659 6 0.7919996646545943
1.2767321458578391 659 7 1.2312780013413818
1.483807595362124 659 8 1.4517518443997317
1.50260325995631 659 9 1.4756812541918176
1.5312013107040834 659 10 1.5085788061703556
1.5030208368341451 659 11 1.4622018779342725
1.5445945219290875 659 12 1.527835345405768
1.509410855318434 659 13 1.4992298792756538
1.487532515543606 659 14 1.448690811535882
1.5254958830448662 659 15 1.532287558685446
1.6769936145185684 659 16 1.741304158283031
1.8440430179801712 659 17 1.8695207914151577
1.9674286674508483 659 18 1.932330985915493
2.051536212401277 659 19 2.042193326626425
1.9680467148378424 659 20 1.9335286720321927
1.8373411191396405 659 21 1.7687505030181083
1.5524579062342465 659 22 1.5157982897384308
1.2086546798857334 659 23 1.175644366197183
0.9584914285714288 660 0 0.9131525821596244
0.7664243697478992 660 1 0.7154575788061703
0.6780458823529412 660 2 0.632144533869886
0.6339119327731092 660 3 0.6029227028839705
0.6240117647058824 660 4 0.5974211938296445
0.6446124369747899 660 5 0.6295903755868545
0.7966307563025209 660 6 0.7905548289738431
1.2592080672268906 660 7 1.2171606304493627
1.5051112605042016 660 8 1.433351441985245
1.5431020168067229 660 9 1.4700719315895372
1.5880611764705883 660 10 1.462497317236754
1.5719778151260504 660 11 1.4497184775318577
1.6284578151260505 660 12 1.509619550637156
1.586042857142857 660 13 1.461557679409792
1.53193512605042 660 14 1.4343477531857816
1.609955462184874 660 15 1.4948063380281689
1.746269075630252 660 16 1.6022622401073106
1.9515963025210084 660 17 1.7215449362843729
2.0232084033613447 660 18 1.837143695506372
2.023907394957983 660 19 1.9739761904761903
1.8825978151260503 660 20 1.8904314218645204
1.7283926050420169 660 21 1.7323774312541915
1.5263687394957983 660 22 1.516053152246814
1.2971248739495798 660 23 1.2733620053655266
1.0684534453781511 661 0 1.026330650570087
0.8431294117647059 661 1 0.8066670020120723
0.703915462184874 661 2 0.6817112676056338
0.6436808403361344 661 3 0.6166869550637156
0.6119403361344538 661 4 0.6019191817572099
0.6175305882352942 661 5 0.6112873910127431
0.665275462184874 661 6 0.6633368544600939
0.8307470588235294 661 7 0.8156230717639169
1.1083240336134454 661 8 1.1041794097920858
1.4200263865546217 661 9 1.4027711267605634
1.5862042016806723 661 10 1.548979879275654
1.6206504201680672 661 11 1.586401240778001
1.6388268907563026 661 12 1.6278638497652582
1.5896808403361342 661 13 1.5844330985915496
1.498986218487395 661 14 1.4705523138832997
1.482144705882353 661 15 1.4391770623742457
1.5847211764705882 661 16 1.4698876592890675
1.7533168067226892 661 17 1.6649515425888666
1.938792605042017 661 18 1.8395670690811536
1.989781680672269 661 19 2.0194557344064386
1.7827136134453785 661 20 1.8323054996646544
1.6108744537815125 661 21 1.6480613682092555
1.4628411764705884 661 22 1.48741163648558
1.2462070588235294 661 23 1.2346876257545272
1.0402480672268908 662 0 1.0142302146210598
0.8439457142857143 662 1 0.8194867538564722
0.7119542857142857 662 2 0.6952285378940308
